code;client_id;client;title;block;period;role;assignee;start;internal_due;legal_due;crit;effort_min;checklist;basis;tariff
ACC-20;CL-004;ООО «ТехСервис Плюс»;Проведение поступлений и реализаций за сентябрь 2026;Учёт;сентябрь 2026;ACCT;Соколов П.Р.;2026-10-07;2026-10-12;;A;120;checklists/close-month.md;ФЗ-402 ст. 9;Полный
DOC-30;CL-004;ООО «ТехСервис Плюс»;Эскалация по непредоставленным документам (письмо-претензия клиенту);Первичка;сентябрь 2026;ACCT;Соколов П.Р.;2026-10-07;2026-10-12;;B;20;checklists/escalation.md;Договор, п. об обязанностях клиента;Полный
ACC-50;CL-004;ООО «ТехСервис Плюс»;Экспресс-проверка и закрытие месяца в 1С;Учёт;сентябрь 2026;ACCT;Соколов П.Р.;2026-10-12;2026-10-15;;A;60;checklists/close-month.md;Регламент агентства;Полный
NDS-10;CL-004;ООО «ТехСервис Плюс»;Сверка книг покупок и продаж, контроль разрывов по НДС;Налоги;III квартал 2026;ACCT;Соколов П.Р.;2026-10-12;2026-10-15;;A;120;checklists/nds.md;НК РФ гл. 21;Полный
ACC-70;CL-004;ООО «ТехСервис Плюс»;Контроль сальдо ЕНС и сверка с ФНС;Учёт;октябрь 2026;ACCT;Соколов П.Р.;2026-10-13;2026-10-16;;A;30;checklists/ens.md;НК РФ ст. 11.3;Полный
REP-NDS;CL-004;ООО «ТехСервис Плюс»;Декларация по НДС за III квартал 2026;Отчётность;III квартал 2026;ACCT;Соколов П.Р.;2026-10-14;2026-10-19;2026-10-26;A;120;checklists/nds.md;НК РФ ст. 174;Полный
ACC-60;CL-004;ООО «ТехСервис Плюс»;Сверка взаиморасчётов с ключевыми контрагентами;Учёт;III квартал 2026;ACCT;Соколов П.Р.;2026-10-15;2026-10-20;;B;90;;ФЗ-402 ст. 11;Полный
CLI-10;CL-004;ООО «ТехСервис Плюс»;Отчёт клиенту за сентябрь 2026: налоги, статус документов, риски;Клиентский сервис;сентябрь 2026;ACCT;Соколов П.Р.;2026-10-15;2026-10-20;;A;30;checklists/client-report.md;Договор;Полный
REP-STAT;CL-004;ООО «ТехСервис Плюс»;Проверка перечня форм статистики на сайте Росстата и сдача;Отчётность;III квартал 2026;ACCT;Соколов П.Р.;2026-10-15;2026-10-20;;B;45;;ФЗ-282;Полный
TAX-USN-N;CL-004;ООО «ТехСервис Плюс»;Уведомление по авансовому платежу УСН за III квартал 2026;Налоги;III квартал 2026;ACCT;Соколов П.Р.;2026-10-16;2026-10-21;2026-10-26;A;45;checklists/usn.md;НК РФ ст. 58 п. 9;Полный
CLI-30;CL-004;ООО «ТехСервис Плюс»;Сверка объёма услуг, акт и счёт за сентябрь 2026;Клиентский сервис;сентябрь 2026;ASSIST;Соколов П.Р.;2026-10-19;2026-10-22;;B;20;;Договор;Полный
DOC-50;CL-004;ООО «ТехСервис Плюс»;Архивирование документов закрытого периода;Первичка;сентябрь 2026;ASSIST;Соколов П.Р.;2026-10-20;2026-10-23;;C;20;;ФЗ-402 ст. 29;Полный
TAX-NDS-P;CL-004;ООО «ТехСервис Плюс»;Уплата 1/3 НДС за III квартал 2026;Налоги;III квартал 2026;ACCT;Соколов П.Р.;2026-10-22;2026-10-27;2026-10-28;A;15;checklists/nds.md;НК РФ ст. 174 п. 1;Полный
TAX-USN-P;CL-004;ООО «ТехСервис Плюс»;Уплата авансового платежа УСН за III квартал 2026;Налоги;III квартал 2026;ACCT;Соколов П.Р.;2026-10-22;2026-10-27;2026-10-28;A;15;checklists/usn.md;НК РФ ст. 346.21;Полный
QC-20;CL-004;ООО «ТехСервис Плюс»;Контроль квитанций и протоколов по отправленной отчётности;Контроль;октябрь 2026;ACCT;Соколов П.Р.;2026-10-23;2026-10-28;;A;20;checklists/reporting.md;Регламент агентства;Полный
